cyto,stim,conc,Mtb_1,Mtb_2,Mtb_3,Media_1,Media_2,Media_3
TNFa,Control,0,427.025,373.42,407.575,3.73,4.695,4.45
TNFa,IFNL1,10,587.695,728.61,480.715,5.13,12.77,3.375
TNFa,IFNL1,25,404.415,460.9,394.61,5.695,9.08,4.025
TNFa,IFNL1,100,359.5,478.81,609.865,50.18,2.355,3.375
TNFa,IFNL1,500,387.495,380.54,453.93,3.32,4.635,4.82
TNFa,IFNG,2,1923.705,1616.02,2387.815,12.915,29.79,14.32
TNFa,IFNG,10,2710.825,2447.475,2500.51,12.845,43.605,10.685
TNFa,IFNG,25,2801.835,3265.645,2941.295,10.335,52.69,22.535
TNFa,IFNG,100,3104.89,3200.635,2420.35,11.615,22.86,10.125
TNFa,IFNE,10,488.49,488.65,422.28,6.405,5.825,6.145
TNFa,IFNE,25,396.505,418.8,453.615,7.99,20.07,8.535
TNFa,IFNE,100,478.655,363.93,368.045,5.445,62.645,5.32
TNFa,IFNE,500,510.89,518.685,426.08,5.76,13.21,5.695
TNFa,IFNB,2,623.235,441.74,535.57,16.58,22.78,13.58
TNFa,IFNB,10,380.54,372.475,398.565,8.465,13.8,15.67
TNFa,IFNB,25,392.395,551.045,500.715,19.205,10.055,7.725
TNFa,IFNB,100,360.77,317.52,465.495,16.96,27.115,8.805
TNFa,IFNA8,2,464.385,421.175,430.665,29.79,11.975,21.095
TNFa,IFNA8,10,647.305,776.42,796.005,52.13,102.34,50.83
TNFa,IFNA8,25,1014.815,1004.875,1068.61,167.615,161.96,151.215
TNFa,IFNA8,100,1610.285,1657.87,1674.29,736.005,740.225,1150.7
IL6,Control,0,5698.3,5096.46,4520.92,213.54,257.06,259.6
IL6,IFNL1,10,4744.38,10274.96,7216.4,232.26,280.38,209.96
IL6,IFNL1,25,6145.7,8336.58,6497.54,216.24,282.76,364.62
IL6,IFNL1,100,5566.68,7907.22,8057.52,184.26,201.74,209.6
IL6,IFNL1,500,5816.32,4717.02,4965.32,202.62,212.3,256.7
IL6,IFNG,2,9325.18,9551.06,6252.64,474.82,552.6,732.66
IL6,IFNG,10,9007.8,11345.84,13692.48,483.52,594.54,436.16
IL6,IFNG,25,7987.8,7304.08,10613.4,485.86,654.6,398.88
IL6,IFNG,100,9239.08,9291.02,9923.08,440.56,410.82,407.42
IL6,IFNE,10,7389.16,10347.04,6230.34,233.7,235.86,210.32
IL6,IFNE,25,7335.1,9517.94,6963.08,263.42,187.1,276.92
IL6,IFNE,100,6933.08,7850.46,6099.48,482.36,406.66,400.02
IL6,IFNE,500,6965.94,5228.14,7579.94,849.94,725.2,765.4
IL6,IFNB,2,3704.9,4881.28,3415.2,1000.8,1514.4,1035.32
IL6,IFNB,10,6003.16,5126.34,3409.94,1238.66,1132.64,857.66
IL6,IFNB,25,4206.64,4800,4730.68,991.44,1179.1,1214.3
IL6,IFNB,100,4568.56,6484.26,4250.58,991.44,997.68,1164.4
IL6,IFNA8,2,4153.44,3726.52,4375.54,1484.02,1702.7,1418.46
IL6,IFNA8,10,7562.64,8268.36,7671.04,3721.74,2983.74,3802.54
IL6,IFNA8,25,10579.02,9293.02,10632.42,8419.38,6215.12,6266.04
IL6,IFNA8,100,48998.82,51729.04,49716.82,49126.16,34111.7,15831.8
IL1b,Control,0,364.01,435.645,387.735,0,0,0
IL1b,IFNL1,10,645.845,368.29,410.99,0,0,0
IL1b,IFNL1,25,434.16,470.415,436.59,0,0,0
IL1b,IFNL1,100,486.395,766.02,686.075,0,0,0
IL1b,IFNL1,500,427.665,487.31,434.875,0,6.328,0
IL1b,IFNG,2,210.535,229.965,376.3,0,0,0
IL1b,IFNG,10,157.46,200.45,203.71,0,0,0
IL1b,IFNG,25,128.125,236.955,156.8,0,0,0
IL1b,IFNG,100,145.425,201.715,121.665,0,0,0
IL1b,IFNE,10,413.875,345.755,338.215,14.832,0,0
IL1b,IFNE,25,433.035,466.89,467.22,0,0,0
IL1b,IFNE,100,445.07,511.535,485.58,0,0,0
IL1b,IFNE,500,336.905,441.93,355.68,0,0,0
IL1b,IFNB,2,74.795,62.205,69.125,0,0,0
IL1b,IFNB,10,57.26,44.52,40.36,0,0,0
IL1b,IFNB,25,40.42,68.2,38.18,0,0,0
IL1b,IFNB,100,43.515,34.93,52.98,0,0,0
IL1b,IFNA8,2,58.58,50.11,63.44,0,0,0
IL1b,IFNA8,10,67.68,73.665,73.23,0,0,0
IL1b,IFNA8,25,71.03,75.895,75.025,0,0,0
IL1b,IFNA8,100,86.465,97.275,92.21,0,0,0